,Unnamed: 0,Unnamed: 0.1,alfab_dez_mais,area_hectare,dens_dem,dist_marco_zero,morador_por_domic,nome_bairro,num_domic,pop_0_4,pop_15_17,pop_18_24,pop_25_59,pop_5_14,pop_60_,pop_fem,pop_masc,pop_porc_amarela,pop_porc_branca,pop_porc_indigena,pop_porc_parda,pop_porc_preta,populacao,prop_resp_fem,rend_medio,rpa,taxa_m_cresc,qtd_chamados,chamados_p_area
14,14,14,91.8,49,180.79,6.92,3.4,BEBERIBE,2586,655,450,1094,3978,1514,611,4625,4321,1.34,31.78,0.15,55.61,11.12,8856,50.93,1038.23,2,1.26,385.0,7.857142857142857
15,15,15,91.4,43,195.67,5.75,3.6,BOMBA DO HEMETERIO,2350,487,426,1013,4213,1300,1033,4592,3880,0.86,30.37,0.21,54.45,14.11,8472,55.66,1346.55,2,-0.2,277.0,6.441860465116279
16,16,16,96.1,59,111.49,5.95,3.5,CAJUEIRO,1902,368,280,753,3317,846,1020,3601,2983,0.6,44.12,0.27,48.92,6.09,6584,47.27,2777.17,2,-0.24,435.0,7.372881355932203
17,17,17,89.7,52,182.67,5.26,3.4,CAMPINA DO BARRETO,2833,737,543,1152,4499,1585,968,5054,4430,0.7,29.84,0.15,55.67,13.64,9484,48.68,1088.8,2,1.3,611.0,11.75
18,18,18,91.5,222,145.04,3.8,3.4,CAMPO GRANDE,9554,2147,1569,3906,15609,4859,4059,17592,14557,1.18,37.38,0.36,50.04,11.04,32149,54.07,2132.0,2,0.29,1878.0,8.45945945945946
19,19,19,90.9,312,105.51,8.7,3.5,DOIS UNIDOS,9374,2438,1937,4250,15712,5765,2803,17243,15662,0.65,29.23,0.17,59.57,10.38,32805,45.06,937.92,2,1.91,1470.0,4.711538461538462
20,20,20,98.2,102,117.27,3.97,2.9,ENCRUZILHADA,4008,603,401,1194,6424,1189,2129,6744,5196,0.76,64.05,0.24,30.94,4.01,11940,45.41,5692.93,2,2.48,736.0,7.215686274509804
21,21,21,93.5,62,130.21,5.95,3.3,FUNDAO,2495,507,391,896,4149,1267,922,4425,3707,0.76,33.41,0.15,54.45,11.23,8132,48.46,1610.32,2,1.62,248.0,4.0
22,22,22,97.7,30,88.13,3.91,3.3,HIPODROMO,808,112,116,262,1367,283,518,1496,1162,0.41,65.84,0.08,28.59,5.08,2658,47.15,4803.91,2,0.12,216.0,7.2
23,23,23,91.3,82,181.2,7.05,3.5,LINHA DO TIRO,4201,1131,818,1852,7194,2596,1276,7862,7005,1.12,28.32,0.19,58.88,11.49,14867,50.04,1028.96,2,0.64,522.0,6.365853658536586
24,24,24,81.4,34,148.43,4.88,3.6,PEIXINHOS,1383,428,287,651,2343,954,335,2555,2443,0.54,23.69,0.0,58.44,17.33,4998,53.83,760.72,2,1.72,79.0,2.323529411764706
25,25,25,95.4,20,79.53,4.43,3.1,PONTO DE PARADA,500,70,70,499,806,185,224,861,693,0.32,44.21,0.6,51.1,4.31,1554,62.4,3248.99,2,-0.74,91.0,4.55
26,26,26,95.2,48,161.35,6.52,3.3,PORTO DA MADEIRA,2334,459,374,917,3953,1118,892,4134,3579,0.65,38.78,0.05,51.35,9.17,7713,52.84,1977.89,2,0.09,202.0,4.208333333333333
27,27,27,95.3,25,160.87,4.46,3.1,ROSARINHO,1329,254,166,438,2194,494,531,2260,1817,0.12,63.5,0.15,33.14,3.09,4077,39.97,6547.75,2,1.58,305.0,12.2
28,28,28,98.1,16,66.29,2.93,2.9,TORREAO,368,73,40,113,531,117,209,608,475,0.09,57.81,0.0,37.3,4.8,1083,39.13,6007.59,2,1.87,214.0,13.375
29,29,29,94.9,25,184.89,7.73,3.4,ALTO DO MANDU,1351,230,201,541,2350,610,717,2564,2091,0.6,38.8,0.13,53.32,7.15,4655,44.4,2323.28,3,-0.89,233.0,9.32
30,30,30,91.0,134,25.01,8.87,3.4,APIPUCOS,991,227,405,1095,3726,1255,731,1775,1567,1.44,31.42,0.21,59.84,7.09,3342,51.26,2162.86,3,-0.37,244.0,1.8208955223880596
31,31,31,87.1,75,155.5,10.37,3.4,BREJO DA GUABIRABA,3426,871,671,1596,5585,2100,919,6168,5564,1.93,32.04,0.69,54.19,11.15,11362,47.17,1037.66,3,0.32,574.0,7.653333333333333
32,32,32,96.5,188,155.09,6.5,3.4,CASA AMARELA,9296,1552,1196,3154,15179,3428,4671,16185,12995,1.21,54.91,0.25,36.97,6.66,29180,48.04,4236.69,3,1.34,1590.0,8.457446808510639
